70%,80%,90%,95%,99%,Avg Sentence Length,Median Sentence Length,Mode Sentence Length,Avg Verb Count,Avg Auxiliary Verb Count,Label,Comment
561.00,1880.00,6685.40,18229.10,38811.00,11.53,10.00,7.00,1.84,1.37,medium,キノの旅17
596.00,1910.00,6880.00,17023.00,38811.00,11.32,10.00,5.00,1.80,1.40,medium,キノの旅18
538.00,1825.00,6282.00,14699.00,41971.22,11.98,10.50,1.00,2.01,1.52,medium,キノの旅20
554.00,1722.00,6434.00,15918.90,41464.45,11.72,10.00,1.00,1.91,1.43,medium,キノの旅21
596.00,1901.00,6620.00,15813.00,42607.60,11.79,10.00,1.00,1.90,1.53,medium,キノの旅22
596.00,2013.00,6589.00,17124.50,40536.00,11.14,9.50,2.00,1.80,1.37,medium,キノの旅23
703.00,2337.00,8347.00,22211.00,57788.00,11.61,10.50,13.00,1.85,1.34,medium,やはり俺の青春ラブコメはまちがっている。01
677.00,2239.00,8252.20,21593.10,53626.80,11.62,10.50,9.00,1.83,1.32,medium,やはり俺の青春ラブコメはまちがっている。02
732.00,2362.00,8134.00,20262.00,57788.00,11.39,10.00,5.00,1.80,1.34,medium,やはり俺の青春ラブコメはまちがっている。03
684.00,2217.00,8127.40,21402.00,52581.00,11.61,11.00,11.00,1.90,1.35,medium,やはり俺の青春ラブコメはまちがっている。04
668.00,2228.20,7784.00,20062.10,55445.00,12.20,11.00,6.00,2.01,1.44,medium,やはり俺の青春ラブコメはまちがっている。05
697.00,2058.00,6886.00,18821.00,52581.00,11.70,11.00,8.00,2.01,1.30,medium,やはり俺の青春ラブコメはまちがっている。06
669.00,2057.00,7597.80,21640.00,54214.22,12.77,12.00,11.00,2.15,1.40,medium,やはり俺の青春ラブコメはまちがっている。06.5
673.00,2239.00,8272.00,22644.00,57788.00,11.68,11.00,9.00,1.93,1.31,medium,やはり俺の青春ラブコメはまちがっている。07
736.00,2291.00,8336.00,21946.35,57788.00,12.25,11.33,8.00,2.01,1.31,medium,やはり俺の青春ラブコメはまちがっている。07.5
502.00,1748.00,6509.00,16713.50,54404.00,12.27,11.67,10.00,2.13,1.40,medium,やはり俺の青春ラブコメはまちがっている。08
502.00,1644.00,6255.00,16383.25,52581.00,12.47,12.00,10.00,2.16,1.37,medium,やはり俺の青春ラブコメはまちがっている。09
631.00,2076.00,8216.00,21400.30,55250.76,12.63,12.00,2.00,2.15,1.39,medium,やはり俺の青春ラブコメはまちがっている。10
719.00,2220.00,7931.00,18383.00,53346.45,13.34,12.00,4.00,2.22,1.44,medium,やはり俺の青春ラブコメはまちがっている。10.5
736.00,2428.00,9133.00,22488.30,57988.47,13.65,13.00,3.00,2.32,1.42,medium,やはり俺の青春ラブコメはまちがっている。11
641.00,2057.20,7798.40,19756.00,58270.00,14.33,13.37,10.00,2.46,1.62,medium,やはり俺の青春ラブコメはまちがっている。12
670.00,2201.00,8347.00,22917.50,59140.00,13.54,13.00,3.00,2.42,1.45,medium,やはり俺の青春ラブコメはまちがっている。13
731.00,2394.00,9031.00,22492.00,58288.00,13.84,13.00,4.00,2.42,1.46,medium,やはり俺の青春ラブコメはまちがっている。14
732.00,2572.00,9627.00,20410.50,59162.00,14.51,13.00,13.00,2.38,1.53,medium,やはり俺の青春ラブコメはまちがっている。14.5
349.30,1452.00,5513.30,14405.00,71623.00,10.80,8.00,3.00,1.57,1.51,medium-hard,化物語（上）
380.00,1493.00,6096.00,16677.85,63400.99,11.34,8.00,4.00,1.62,1.49,medium-hard,化物語（下）
368.00,1580.00,6282.00,17620.00,71623.00,12.32,8.50,4.00,1.76,1.59,medium-hard,化物語（中）
755.00,2350.20,7263.00,17208.00,66178.00,16.29,14.00,12.00,2.52,1.89,medium-hard,魔法科高校の劣等生01
614.00,2235.00,7136.00,16814.80,64098.00,15.12,13.00,9.00,2.33,1.87,medium-hard,魔法科高校の劣等生02
696.00,2291.00,6993.50,16283.70,62795.75,17.18,15.00,12.00,2.63,2.01,medium-hard,魔法科高校の劣等生03
753.00,2494.20,7723.00,18553.00,59382.60,17.24,15.00,10.00,2.66,1.98,medium-hard,魔法科高校の劣等生04
633.00,2337.00,7692.00,18560.00,61291.36,16.59,15.00,12.00,2.59,2.01,medium-hard,魔法科高校の劣等生05
725.00,2474.00,8126.00,18169.75,62219.66,17.05,15.00,12.00,2.71,2.00,medium-hard,魔法科高校の劣等生06
977.00,3031.00,10009.40,22671.95,69519.00,16.33,15.00,12.00,2.61,1.84,medium-hard,魔法科高校の劣等生07
696.00,2712.00,7775.00,20248.00,69519.00,15.43,14.00,10.00,2.43,1.82,medium-hard,魔法科高校の劣等生08
750.00,2647.00,8495.50,19740.50,62903.50,16.08,15.00,10.00,2.51,1.89,medium-hard,魔法科高校の劣等生09
554.00,2145.00,7048.00,16912.00,62132.21,15.81,14.50,13.00,2.55,1.99,medium-hard,魔法科高校の劣等生10
591.00,2311.00,7850.00,18922.00,63725.50,15.90,14.50,13.00,2.55,1.91,medium-hard,魔法科高校の劣等生11
689.00,2351.00,7972.00,18013.00,69519.00,15.48,15.00,4.00,2.39,1.87,medium-hard,魔法科高校の劣等生12
762.00,2553.00,8493.60,21763.00,69519.00,15.33,14.67,9.00,2.33,1.78,medium-hard,魔法科高校の劣等生13
581.00,2280.00,7541.00,19722.00,69705.20,15.12,14.00,13.00,2.31,1.80,medium-hard,魔法科高校の劣等生14
587.00,2321.00,7652.00,19209.00,69519.00,14.11,13.00,9.00,2.24,1.68,medium-hard,魔法科高校の劣等生15
596.00,2380.80,9160.90,26370.80,79892.00,14.34,13.00,11.00,2.25,1.72,medium-hard,魔法科高校の劣等生16
604.20,2291.00,8915.00,23212.60,76643.00,14.14,13.00,9.00,2.18,1.68,medium-hard,魔法科高校の劣等生17
630.00,2347.00,8099.00,20194.55,69519.00,14.92,14.00,14.00,2.41,1.76,medium-hard,魔法科高校の劣等生18
664.70,2458.00,8306.00,23191.00,72627.00,14.86,14.00,11.00,2.42,1.75,medium-hard,魔法科高校の劣等生19
890.00,3120.00,10645.00,25325.05,69519.00,14.70,13.12,7.00,2.31,1.65,medium-hard,魔法科高校の劣等生20
631.00,2269.20,7379.00,18230.45,76006.00,15.20,14.50,3.00,2.34,1.82,medium-hard,魔法科高校の劣等生21
630.00,2364.00,8092.30,18589.80,72832.08,13.93,13.00,11.00,2.24,1.65,medium-hard,魔法科高校の劣等生22
777.00,2666.00,8390.00,20482.00,69519.00,13.76,13.00,10.00,2.13,1.56,medium-hard,魔法科高校の劣等生23
645.00,2327.00,7692.00,18853.00,69519.00,14.74,14.00,11.00,2.28,1.77,medium-hard,魔法科高校の劣等生24
669.00,2464.00,8206.00,22716.00,76394.00,14.38,13.00,9.00,2.23,1.71,medium-hard,魔法科高校の劣等生25
762.00,2712.00,9372.00,24898.25,76394.00,14.05,13.00,12.00,2.21,1.61,medium-hard,魔法科高校の劣等生26
890.00,2872.00,10465.40,24373.00,71108.00,14.27,13.67,14.00,2.18,1.59,medium-hard,魔法科高校の劣等生27
741.00,2712.00,9089.00,22525.00,69519.00,15.25,14.00,11.00,2.40,1.71,medium-hard,魔法科高校の劣等生28
892.00,2965.00,10572.00,24944.00,74904.88,14.05,13.00,10.00,2.24,1.57,medium-hard,魔法科高校の劣等生29
831.00,2885.00,10572.00,27472.00,76394.00,13.78,13.00,11.00,2.10,1.59,medium-hard,魔法科高校の劣等生30
1033.00,3250.00,11247.00,26163.20,75614.00,15.34,14.00,11.00,2.31,1.75,medium-hard,魔法科高校の劣等生31
751.40,2531.00,8413.00,19208.00,69519.00,14.58,14.00,11.00,2.21,1.69,medium-hard,魔法科高校の劣等生SS
584.00,2144.00,10312.00,28940.00,74788.00,12.50,12.00,8.00,2.17,1.58,medium-hard,薬屋のひとりごと01
488.00,1808.00,8213.00,23224.00,75807.86,12.80,12.00,13.00,2.27,1.62,medium-hard,薬屋のひとりごと02
502.00,1825.00,8879.80,24237.00,67172.00,12.67,12.00,8.00,2.21,1.59,medium-hard,薬屋のひとりごと03
559.00,1982.00,9341.00,26520.00,70077.00,11.57,11.00,7.00,2.05,1.41,medium-hard,薬屋のひとりごと04
562.00,1949.20,8624.40,23547.30,67674.00,11.30,11.00,6.00,1.96,1.39,medium-hard,薬屋のひとりごと05
499.00,1876.00,8250.50,22956.00,68478.00,11.81,11.40,8.00,2.08,1.49,medium-hard,薬屋のひとりごと06
446.00,1605.00,8352.00,20029.00,68081.00,11.80,11.00,7.00,2.04,1.49,medium-hard,薬屋のひとりごと07
510.00,1918.00,9412.50,24939.25,67674.00,11.11,10.00,5.00,1.93,1.33,medium-hard,薬屋のひとりごと08
482.00,1901.40,8981.00,23462.00,71540.18,11.11,10.50,9.00,1.93,1.34,medium-hard,薬屋のひとりごと09
654.00,2440.00,10314.40,26278.35,68495.00,10.83,10.00,7.00,1.79,1.34,medium-hard,薬屋のひとりごと10
662.00,2536.00,10656.00,28546.00,70607.00,11.22,11.00,7.00,1.86,1.37,medium-hard,薬屋のひとりごと11
543.00,1952.00,8931.40,21363.00,68637.15,11.12,10.50,11.00,1.88,1.41,medium-hard,薬屋のひとりごと12
592.00,2197.00,11268.00,30067.85,70421.00,11.26,11.00,9.00,1.83,1.34,medium-hard,薬屋のひとりごと13
641.00,2517.00,12471.00,29947.00,79966.25,10.98,10.00,7.00,1.78,1.38,medium-hard,薬屋のひとりごと14
1025.00,3839.20,13388.00,27797.00,65449.00,18.21,17.00,17.00,2.87,1.95,hard,Fate Zero01
1386.00,5132.40,16687.00,32850.00,74396.09,17.59,17.00,15.00,2.78,1.85,hard,Fate Zero02
1398.00,5287.00,16658.00,31677.00,71217.00,17.11,16.00,14.00,2.76,1.83,hard,Fate Zero03
1477.00,5505.00,18467.00,34184.00,78746.00,18.64,17.50,17.00,2.94,1.92,hard,Fate Zero04
1133.00,4252.00,14793.00,29503.25,71044.00,17.93,17.00,15.00,2.88,1.91,hard,Fate Zero05
1360.00,4540.00,15431.30,32206.00,75557.12,16.73,16.00,17.00,2.79,1.81,hard,Fate Zero06
1133.00,3387.00,11243.20,25772.00,59533.48,15.92,15.00,8.00,2.45,1.78,hard,幼女戦記01
1234.80,4006.20,13034.00,28004.00,60602.00,16.08,15.00,5.00,2.50,1.78,hard,幼女戦記02
1187.00,3980.00,12782.00,27178.00,62364.00,18.04,17.00,10.00,2.87,1.89,hard,幼女戦記03
1306.00,4012.00,12622.00,27240.75,64292.00,16.71,15.67,14.00,2.65,1.78,hard,幼女戦記04
1196.00,3880.00,12056.90,26773.00,62364.00,14.58,14.00,17.00,2.35,1.62,hard,幼女戦記05
1354.00,4304.00,12784.00,27178.00,62432.00,14.96,14.00,13.00,2.49,1.64,hard,幼女戦記06
1493.00,4586.00,14908.00,29443.20,67345.08,13.52,12.50,7.00,2.20,1.46,hard,幼女戦記07
1386.00,4106.00,13819.00,28004.00,63248.65,14.37,13.00,13.00,2.34,1.57,hard,幼女戦記08
1359.00,4298.00,14110.00,28004.00,67927.00,13.01,12.00,12.00,2.04,1.43,hard,幼女戦記09
1417.00,4397.00,13782.20,28004.00,68170.00,13.36,12.75,8.00,2.12,1.41,hard,幼女戦記10
1343.70,4355.00,13413.70,25910.00,67476.08,13.91,13.00,10.00,2.21,1.48,hard,幼女戦記11
1392.00,4355.00,13947.40,27715.45,65969.00,14.13,12.00,7.00,2.26,1.47,hard,幼女戦記12
